天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
奈维,奈维,奈维，全名布鲁诺·奈维。1918年出生，是意大利现代著名建筑师，意大利罗马大学建筑历史教授。
王牌小兵,王牌小兵,《王牌小兵》是悲伤D石头创作的网络小说，发表于起点网。
北极鲸,北极鲸,北极鲸属于哺乳纲，鲸目，露脊鲸科，仅分布于北极海域，已濒临绝迹。一般不成大群，多数成对伴游。游泳速度很快。
LAFUMA,lafuma,Lafuma，中文品牌名称乐飞叶，Lafuma集团于1930年在法国阿内龙(AnneyronFrance)成立，是有着80余年悠久历史的知名户外品牌，它的出现是缘于三兄弟Victor（维克多）、Alfred（埃尔弗雷德）、Gabriel（加百利）对山与自然执着的信念，而Lafuma的名称也正是按照三兄弟的姓氏所命名的。在二战期间，Lafuma曾为法国军队提供大量背包装备。战后品牌得到了长足发展，并开始积极资助各项户外运动：包括探险、登山、越野跑等等。在法国，有一半以上的人的生命中第一个双肩背包品牌就是Lafuma。
鱼不吃,鱼不吃,鱼不吃，是目前中国公认的唯一顶级竞技诱鱼剂的品牌，专用于高端垂钓领域，特别是职业竞技钓鱼圈。能使鱼产生强烈的就食欲望，而且一旦诱鱼进窝，就长久不离开，直到钓完一窝的鱼。
MONKEY MAGIC,Monkey Magic,《MonkeyMagic》是沼仓爱美&原由実的音乐作品，收录在《TheIdolm@SterStation!!+MondayNightFever☆(动画《偶像大师》)》专辑中。
卡宾,卡宾,卡宾(carbene)，又称碳烯，一般以R2C：表示，指碳原子上只有两个价键连有基团，还剩两个未成键电子的高活性中间体。卡宾的寿命远低于1秒，只能在低温下(77K以下)捕集，在晶格中加以分离和观察。它的存在已被大量实验所证明。
蓝橙,蓝橙,蓝橙从创立之初就将创新精神注入到品牌建设的每个细节之中 ，提供旅行途中实用的解决方案。创新源于生活，蓝橙听从消费者内心的召唤，让旅行休闲变得很简单。蓝橙依托强大的研发背景，促进旅游休闲体验的提升，用技术和产品设计与消费者分享创意和经验。
吉约蒙,吉约蒙,吉约蒙（G·MONS)智族服装有限公司主要生产适合25-45岁的商务精英人士中高档男装。
TRAVELSKY,中国民航信息集团公司,中国民航信息集团公司正式组建于2002年10月，属国务院国有资产监督管理委员会管理的中央企业。总部设在北京。其主营业务是提供航空客运业务处理等服务，是目前航空旅游行业领先的信息技术及商务服务提供商。 
PIONEER,Pioneer,先锋是影音娱乐及光盘技术的世界先驱，运用先进科技投入家用影音、车用影音以及商业用市场，展现对消费者的热情与娱乐事业的重视。Pioneer起源于1938年，并以扬声器制造与销售为主，「让更多的人听到更感动的声音」是创办人松元望先生创立先锋公司的理念。
欧峰,欧峰,欧峰，男，福建晋江潘湖人，笔名晓周、金墩郎。字孝文，号潘湖居士，别号金湖斋主。文学家，清初潘湖黄锡衮大学士十世孙。文学士学位。中共党员。1960年6月21日出生。文化站长；曾任泉州市政府地方志编纂委员会辅导科常务编委，系中国作家协会鲁迅文学院1996年度优秀学员；潘湖黄锡衮大学士研究中心主任、针记黄渭源五服内理事会主任、晋江市黄光升研究会会长、金墩黄府望族文史研究会长、潘湖欧阳詹黄仁颖黄光升黄凤翔黄锡衮五贤祠纪念馆长，中国报告文学学会会员、中国作家协会福建分会会会员。泉州市历史名人研究会理事长。
日高,日高,日高（NIKKO）体育用品公司成立于1981年，总部设在香港。20多年来，NIKKO一直为热爱运动、户外露营及旅游人士提供最好的背囊、服饰及装备。当中的主导产品－背囊－二十年来无论在销量，知名度及受欢迎程度方面都占据NIKKO产品榜首多年。NIKKO背囊的种类齐全，大至90公升的露营背囊，旅游背囊，运动袋，小到日常用的轻便背包、单车背囊，公文包，直至贴身而带的腰包，手机袋等，其设计、用料及色彩在不断改良进步之余，也紧随潮流的步伐。
奥趣,奥趣,奥趣，汉语词语，拼音是àoqù，释义是幽深的情趣。
火炎人,火炎人,火炎人（ファイヤーマン），是日本于1973年1月7日～同年7月31里每周日毎周日曜日下午18：30-19：00播放，由圆谷制作的特摄作品。
古德文,古德文,古德文是一位当自己抢断失败，自由中卫上去阻截对手突破时，其应迅速为自由中卫进行补位的澳大利亚的后卫。
王菲儿,王菲儿,王菲儿，女，内地当红童星，曾多次参加各种文艺演出，2010年参加“童画之星·第三届全国幼儿创意美术大赛”，参赛作品《我好开心》获个人书画类银奖；2011年参加深圳市少年宫“成长·心愿”2011新年文艺晚会演出---模特《畅想未来》；2011年参加深圳市少年宫“牵手世界·放飞梦想”2011“庆六一·迎大运”文艺晚会演出---模特《大运宝贝》；2013年参加深圳电视台《剧星时间》栏目举办的小演员选拔活动中，凭其优秀的演技，深深打动了评委让其在魔法日记系列微电影之《快乐魔杖》出演戏份很重的一角，而被众人熟知。
境界,境界,境界是在感知力上感知的主观上的广义的名词。境界是指人的思想觉悟和精神修养，即修为，人生感悟，对于境界来说在各个不同的领域有着不同的看法和见解，故境界是一种很微妙的感觉。多数时把境界楞划分几种，以质来区分；度来衡量。如主体在某件事物上所处于的水平。日本漫画《BLEACH》中少动漫的大陆翻译本将题目译为境界。清代鸿儒王国维在其著作《人间词话》里谈到：“古之成大事业，大学问者，必经过三种之境界。”
驭波者,驭波者,驭波者，即X-51A飞行器，是美国空军研究实验室（AFRL）与国防高级研究计划局（DARPA）联合主持研制的超燃冲压发动机高超音速验证机——代号：乘波者（SED-WR，ScramjetEngineDemonstrator-Waverider）。该飞行器由波音公司与普拉特·惠特尼（简称普惠）公司共同开发，由一台JP-7碳氢燃料超燃冲压发动机推动，设计飞行马赫数在6～6.5之间。这个计划的终极目标是要发展一种比美国现有武器库中任何一种导弹的速度都要快5倍以上，可以在1小时内攻击地球任意位置目标的新武器。
V-MEN,V-MEN,创始於1979年的V-MEN（威曼男装），於2000年正式登陆国内市场以来，所奉行的简洁纯粹风格一直吸引著潮流爱好者的目光。V-MEN著重创新及随意的配搭风格，受到时尚潮流界的认同和追捧。
KISS CAT,接吻猫,接吻猫KISSCAT以独特品牌理念，创造了具有猫一般魔力的，美丽、智慧、时尚、独立的知性女性的形象。KissCat产品结构为以正装、时尚类为主，兼顾休闲品类的真皮女鞋；长期精确、稳定的市场表现形成大方、时尚、雅致、宁静和甜美的产品风格，展现明慧灵动、宛然可亲的知性美感；具有卓越的舒适度及良好的口碑。
ROBERTA DI CAMERINO,Roberta di Camerino,
爱克,爱克,爱克，通用名：醋酸甲地孕酮胶囊，主要成分：醋酸甲地孕酮，用于晚期子宫内膜癌和乳腺癌激素依赖性患者的姑息治疗。
ODYBIRD,Odybird,《Odybird》是一款运行于Android的应用游戏类软件，主要作用是休闲娱乐。
金百利,金百利,金百利，加拿大冰球女运动员。
五十岚,五十岚,五十岚 是《会长是女仆》中的一个人物，他是雅丘学园II-S班的学生，现年16岁，是名校雅丘学园的学生会长，平常装成温柔绅士的人，其实是傲慢至极的腹黑男人。只要一露出本性就会用关西腔说话。
开朗,开朗,开朗是一个汉语词汇，读音为kāilǎng，指开阔明朗。出自晋陶潜《桃花源记》：“初极狭，才通人，复行数十步，豁然开朗。”
民间艺人,民间艺人,民间艺人为继承祖国优秀的民间文化传统，促进民间文艺事业的发展，民间艺人出现在历史的舞台。
闲庭看花,闲庭看花,《闲庭看花》是于踏儿创作的网络小说，发表于17K小说网。
Umbro,茵宝,茵宝（UMBRO）是拥有94年（1924年—2018年）历史的国际知名品牌，基于英国的足球服装生产商，一九二四年由英国堪富利士兄弟创立。兄弟俩以他们英文名（HUMPHREYBROTHERS）内的五个英文字母合并成UMBRO一词，后再配以钻石双菱形图案成为今日UMBRO的注册商标。2008年，全球最大运动鞋及服装制造商Nike宣布，同意以2.85亿英镑（约45亿港元），收购英国足球用品制造商Umbro。2012年10月24日，耐克以2.25亿美元的价格将旗下品牌茵宝出售给艾康尼斯品牌集团公司。NIKE发布2013年英格兰主场球衣，预示着UMBRO英格兰赞助商正式成为历史。
熊出没,熊出没,《熊出没》是深圳华强数字动漫有限公司出品的系列动画片中的第一部，丁亮、邢旭辉导演，武斌、侯喆编剧。该片主要讲述了森林保护者熊兄弟与破坏森林、采伐原木、占领土地开发创业实验田的光头强之间上演的一幕幕搞笑对决的故事。 作品于2012年1月22日在中央电视台少儿频道首播。2013年12月，3D动画电影《熊出没之夺宝熊兵》发布元旦特别版海报，该片已于2014年1月17日春节档上映。
后舍男生,后舍男生,后舍男生，中国内地男子流行演唱组合，由黄艺馨、韦炜组成 。2006年，后舍男生签约太合麦田正式进入娱乐圈。2007年7月19日，后舍男生发行第一支动感单曲《哦咦哦咦啊》。2008年5月8日，发行幽默单曲《海盗船长》。2009年7月13日，主演青春偶像剧《青春进行时》。2010年6月3日，发行情歌单曲《以爱命名的童话》。2011年1月25日，参加北京电视台春节晚会，5月26日，后舍男生与太合麦田合约到期决定分开活动，但表示后舍男生不会解散 。
KK,魏巍,魏巍（KK），1983年4月21日生于黑龙江省哈尔滨市，中国内地主持人、演员，毕业于中央戏剧学院。2005年10月，加入湖南经视担任主持人。2006年，参演了第一部电影《天下第一宴》。2007年，在都市情感剧《悠悠寸草心》中担纲男一号林玉辉 。2008年，在电视剧《人间烟火》中饰演谭向伟。2012年，出演家庭轻喜剧《我家有喜》。2013年，主演时尚轻喜剧《我家有个赵大咪》 。2014年，出演都市情感偶像剧《待嫁十年》 ；同年，在超级季播剧《盗墓笔记》中饰演潘子 ；在都市爱情喜剧《爱情万万岁》中饰演李上 。2016年，在都市爱情剧《我不是精英》中饰演江林 。2017年在都市情感剧《老男孩》中饰演叶昕 。在古装神话剧《哪咤降妖记》中饰演风火轮 。在古装玄幻武侠剧《武动乾坤》中饰演元苍 。2018年在古装宫廷剧《大明皇妃孙若微传》中饰演皇甫云 。
江南,江南,江南，是指地理区域，顾名思义，意为长江之南，在人文地理概念里特指长江中下游以南。先秦时期，江南属百越之地，被中原称为"吴越" 。江南以才子佳人、富庶水乡、繁荣发达著称。江南是一个人杰地灵、山青水秀的地方，从古至今“江南”一直是个不断变化、富有伸缩性的地域概念，但始终代表着美丽富饶的水乡景象；至今也是自然条件优越，物产资源丰富，商品生产发达，工业门类齐全，是中国综合经济水平最高的发达地区。在不同历史时期，江南的文学意象不尽相同。江南最早出现在先秦两汉时期。在东周时期是以吴国、越国等诸侯国所在的长江中下游，即今上海、浙江北部、江苏南部、安徽东南部、江西东北部等长江中下游以南部分地区（摘自央视纪录片《何处是江南》）。自古有来，江南地区曾有会稽郡、吴郡、江南道、两浙路等行政划分。
墨秦,墨秦,《墨秦》是连载于纵横中文网的一本玄幻类小说，作者是魔术师杨。
阳子,中岛阳子,中岛阳子是漫画《十二国记》之中的人物，字赤子，胎果生。世称景王，是景麒所选的庆国第二任女王。她的挚友是乐俊。持有宝重【碧双珠】和【水禹刀】。由声优演员久川绫（AYAHISAKAWA）配音。
hammer,hammer,hammer是一个英语单词。
伯爵卓尔,伯爵卓尔,隶属于杭州爵卓服饰有限公司旗下品牌，伯爵卓尔，一直致力于引领都市男性时尚穿着品味。凭借精准的市场定位，经典的风格设计和人性化的管理理念，飞速发展，建立了良好的口碑。
YANI,Yani,Yani，男，美国人，是一名制片人，代表作有《BlackOut》。
随心,随心,随心，指凭着自己的心意；如：随心所欲。
TSP,TSP,TSP，英文totalsuspendedparticulate的缩写，即总悬浮微粒，又称总悬浮颗粒物。指用标准大容量颗粒采集器在滤膜上收集到的颗粒物的总质量，有人为源和自然源之分，人为源主要是燃煤、燃油、工业生产过程等人为活动排放出来的；自然源主要有土壤、扬尘、沙尘经风力的作用输送到空气中而形成的。
OSCO,osco,源自欧洲的时尚品牌。不盲从稍纵即逝的流行，专注内在风格的永存。OSCO秉承独特的自我风格，意大利鬼才设计师精心设计，始终保持优雅与经典融合的设计路线，每一双鞋如同艺术品追求完美，制造工艺上沿袭德国独特的手工技法，要求苛刻且刻板，选用上乘的真皮面料。使得OSCO品牌既拥有低调的欧陆尊贵的优雅品位，又不失实用而经典时尚风格。
百思图,百思图,2001年，上海百思图鞋业有限公司创立了百思图品牌。并推出BASTO这一年轻、时尚、具有意大利风格的都市品牌，2007年并入百丽国际 ，成为百丽国际旗下品牌。秉承优雅，甜美，清新的设计理念，形成“好嫁风”的产品风格。 
盛宣怀,盛宣怀,盛宣怀（1844年11月4日—1916年4月27日），字杏荪，又字幼勖、荇生、杏生、号次沂、又号补楼、别署愚斋、晚年自号止叟。汉族，祖籍江苏江阴，出生于江苏常州，死后归葬江阴。清末官员，秀才出身，官办商人、买办，洋务派代表人物，著名的政治家、企业家和慈善家，被誉为“中国实业之父”、“中国商父”、“中国高等教育之父”。 盛宣怀创造了11项“中国第一”：第一个民用股份制企业轮船招商局；第一个电报局中国电报总局；第一个内河小火轮公司；第一家银行中国通商银行；第一条铁路干线京汉铁路；第一个钢铁联合企业汉冶萍公司；第一所高等师范学堂南洋公学（今交通大学）；第一个勘矿公司；第一座公共图书馆；第一所近代大学北洋大学堂（今天津大学）；创办了中国红十字会。他热心公益，积极赈灾，创造性地用以工代赈方法疏浚了山东小清河。盛宣怀一生经历传奇，成就不凡，创办了许多开时代先河的事业，涉及轮船、电报、铁路、钢铁、银行、纺织、教育诸多领域，影响巨大，中外著名，垂及后世。
黑洞,黑洞,黑洞是现代广义相对论中，宇宙空间内存在的一种天体。黑洞的引力很大，使得视界内的逃逸速度大于光速。1916年，德国天文学家卡尔·史瓦西（KarlSchwarzschild）通过计算得到了爱因斯坦引力场方程的一个真空解，这个解表明，如果将大量物质集中于空间一点，其周围会产生奇异的现象，即在质点周围存在一个界面——“视界”一旦进入这个界面，即使光也无法逃脱。这种“不可思议的天体”被美国物理学家约翰·阿奇博尔德·惠勒（JohnArchibaldWheeler）命名为“黑洞”。“黑洞是时空曲率大到光都无法从其事件视界逃脱的天体”。 黑洞无法直接观测，但可以借由间接方式得知其存在与质量，并且观测到它对其他事物的影响。借由物体被吸入之前的因高热而放出和γ射线的“边缘讯息”，可以获取黑洞存在的讯息。推测出黑洞的存在也可借由间接观测恒星或星际云气团绕行轨迹取得位置以及质量。2017年12月7日，美国卡耐基科学研究所科学家发现有史以来最遥远的超大质量黑洞，其质量是太阳的8亿倍 。
百露,百露,百露是专业从事高品味的种生活品牌，具特色生活用品的品牌，所有产品都人性化设计，从人们日常生活出发，以为生活提供更多方便为目标，生产各类便利收纳产品。是国内最早提供便利收纳用品专业生产厂商之一。
D二次方,D二次方,D二次方是一款换装游戏，内容主题是化妆，打扮，换装，时尚，模特，游戏大小是1M。
ENA,ena,ENA即抗可溶性抗原Extractablenuclerantigen（抗体）的简写。抗可溶性抗原（ENA）抗体是针对核内可提取性核抗原的一种自身抗体，有10余种，主要为抗核糖核蛋白抗体（RNP）和酸性核蛋白（Sm）抗体。所谓ENA是指在盐水中可溶解的一部分核抗原。待检血清与ENA进行对流免疫电泳后，根据沉淀线有无及其性质，判定有无抗ENA抗体。 
重义,重义,重义，读音为zhòngyì，汉语词语，意思是指以道义为重。
牧野,牧野,牧野也是日本的一个姓氏。
科酷,科酷,深圳市科酷通信科技有限公司是一家致力于2.5G、3G移动通信终端产品研发、制造的高科技企业，注册资金2000万元人民币。
宝马,宝马,宝马(BMW)是享誉世界的豪华汽车品牌。宝马的车系有1、2、3、4、5、6、7、i、X、Z等几个系列，还有在各系基础上进行改进的M系（宝马官方的高性能改装部门）。宝马公司创建于1916年，总部设在德国巴伐利亚州慕尼黑。BMW的蓝白标志宝马总部所在地巴伐利亚州州旗的颜色。百年来，宝马汽车由最初的一家飞机引擎生产厂发展成为以高级轿车为主导，并生产享誉全球的飞机引擎、越野车和摩托车的企业集团，名列世界汽车公司前列。宝马也被译为“巴依尔”。2016年3月7日，宝马与百度正在首页开启史无前例的互动，共同向网友发出邀请，见证宝马100年以来的驾驶乐趣。 12月5日消息，宝马2017将在德国慕尼黑进行无人驾驶汽车测试。 2017年4月，全新一代宝马5系长轴版全球首发。 
哥特,哥特人,哥特人（Goths）（200年～714年）也译作哥德人，是东日耳曼人部落的一支分支部族，从2世纪开始定居在斯基泰、达契亚、外潘诺尼亚与黑海北岸的乌克兰大草原。5到6世纪时，德涅斯特河划分了他们，河东的叫东哥特人，河西的叫西哥特人。410年，日耳曼的西哥特人在领袖阿拉里克率领下，进入意大利，围攻罗马城。在城内奴隶的配合下打开城门，掠夺而去，此后哥特人在西罗马帝国境内 建立西哥特王国（位于高卢西南部和西班牙、卢西塔尼亚）和东哥特王国（位于意大利和克罗地亚）。
霞美,霞美,霞美镇霞美镇位于漳浦县东南部，东隔旧镇港与六鳌半岛相望，西邻杜浔镇，南邻下蔡林场，北邻旧镇镇。陆地总面积83.5平方公里，海岸线13公里。镇政府所在地霞美村距县城20公里。省道漳东线公路贯穿全镇9公里，漳诏高速公路在漳云线西侧与之并行，贯穿镇境。镇境北临旧镇互通口，南临杜浔互通口。
VMP,VMP,VMP系列超高精度光学影像测量仪，是10年技术积累的经典机型，测量精度可达：2.5+L/200μm，前置的Z轴和灯光调节面板，配置与机身直接连接的液晶显示屏，使操作更加方便，提高工作效率，并节省占地空间；采用43万像素日本原装彩色CCD，取像清晰；此外配合自行研发的OVM半自动版测量软件，使得测量方便、快捷。
赫升,赫升,赫升Hesion女士内增高鞋是广州畅丰鞋业有限公司旗下品牌。随着社会经济的发展，人们生活水平的提高，美在人们的生活中也越来越受到重视，人们的审美观也愈发提高，对美也愈发有自己的追求。穿内增高鞋改善自身形象便是一种方式。1996年成立的广州畅丰鞋业有限公司顺应时代要求创立了赫升女士内增高鞋品牌，专注于为女性提供专业舒适的内增高服务，经过多年发展已成为女士内增高鞋品牌的领航者。
Stella McCartney,斯特拉·麦卡特尼,斯特拉·妮娜·麦卡特尼(StellaNinaMcCartney)，英国时装设计师。她是披头士乐队贝斯手保罗麦卡尼和美国摄影师、动物权利活动家琳达麦卡尼的第二个女儿。 自幼受摇滚乐薰陶的斯特拉·麦卡特尼(StellaMcCartney)，在伦敦著名学府中央圣马丁学院(CentralSaintMartinsCollege)主修美术及设计。斯特拉·麦卡特尼(StellaMcCartney)的时装是穿着舒适的、性感的和具有现代风格的，正如她所希望的那样，她的设计能够带给女性力量与自信的感觉。其新颖的环保设计理念受同行钦佩影响着整个时尚界.
宜肤,宜肤,宜肤是郑州宜肤家纺贸易有限公司旗下泳装品牌，商标注册号为5690094，国际分类号为25 。
漫微,漫微,
天元,天元,正规的围棋棋盘形状为正方形，上书横竖各十九道平行线，构成三百六十一个交叉点。其中有九个交叉点用大黑点标识，以方便定位，这九个黑点称之为“星”（或“星位”）。棋盘正中央的星位被称为“天元”（坐标点：K10）。
YA,ya,1、you的口语读法。1）.你：Givemeahandwillya?2）.你的：Where'syabrother?2、YA是电气设备电磁铁的常用电气符号。3）Ya在德语里表示肯定，相当于德国军人在与长官对话时的“是”。
Jasper,Jasper,陈胤捷（Jasper），2013年7月1日出生于中国香港，影视演员陈小春与应采儿的儿子。2017年9月14日，与父亲陈小春一同参加亲子真人秀节目《爸爸去哪儿第五季》。
MAMMUT,乳齿象,乳齿象mastodon，化石记录的长鼻类哺乳动物（见长鼻目）。最早的、明显具有长鼻类特点的哺乳动物是发现于非洲北部的莫湖兽。经过古乳齿象的初期过渡阶段后，发展到乳齿象类。
劲捷,劲捷,
新勇士,新勇士,《新勇士》是MarvelComics创作的科幻魔幻类漫画。
天扬,天扬,《天扬》是连载于幻剑书盟的一本游戏网游类小说，作者是流川小枫。
RENAULT,雷诺,雷诺，（RenaultS.A.）是一家法国车辆制造商，生产的车辆种类有赛车、小型车、中型车、休旅车、大型车（包含卡车和工程用车及巴士）等。雷诺第一次进入美国市场销售是1950年代及1960年代之间，他们在美国市场确定的品牌发音方式是“Ren-ALT”，而这个发音方式是今日最为广泛接受的。然而雷诺正确的发音是“Rhen-oh”（就如同英国常见的发音方式）。
阵风,阵风,世界气象组织（WMO）指出：阵风（GUSTINESS）是在规定时间内，风速对其平均值持续时间不大于2min的正或负的偏离。负的阵风又称为息风。 
卡骆驰,卡骆驰,卡骆驰(Crocs)是美国的鞋业公司，创立于2002年，到2006年的夏天，公司才正式上市。主要生产运动休闲凉鞋，最大的卖点就是轻便、耐穿、防水。公司的创办人因为喜爱鳄鱼(CROCODILE)，因此把品牌命名为鳄鱼的缩写(CROCS)，而鞋子的形状还设计成鳄鱼开口的各式休闲鞋。这种貌似鳄鱼的凉鞋已经成为是「流行」以及「时尚」的代名词了。在英国还一度因抢购而缺货。
贝尔格里斯,贝尔·格里尔斯,贝尔·格里尔斯（BearGrylls），1974年6月7日出生于英国怀特岛本布里奇城，探险家、主持人、作家、演讲家。 2006年，因其在探索频道主持节目《荒野求生》中所食用的东西太过惊人，而被冠以“站在食物链顶端的男人”的称号 。2007年，贝尔为英国四频道做了八个系列节目，节目名为《天生求存者，贝尔格里尔斯》 。2008年，贝尔继续拍摄《荒野求生》和《天生求生者贝尔格里尔斯》，涉及全球16个地区，从非洲沙漠到印度尼西亚、伯利兹、加拿大育空、伊拉克等等 。2009年，贝尔·格里尔斯成为新一届英国童子军总会的主席 。2013年7月，主持冒险竞技系列真人秀节目《求生大作战》 。2015年，贝尔参加中国东方卫视真人秀节目《跟着贝尔去冒险》 。2016年12月与姚明一起录制《越野千里》第一期 。
Freestyle,freestyle,freestyle，英语词汇，一般指即兴的、随性的随意的发挥，例如HIPHOP说唱中的freestyle就是即兴说唱的意思。2017年6月，因吴亦凡在国产说唱综艺《中国有嘻哈》中屡次提起freestyle而火遍网络。2017年12月18日，“你有freestyle吗？”入选国家语言资源监测与研究中心发布的2017年度十大网络用语”。 
血狼王,血狼王,《血狼王》是幻剑书盟连载的一部网络小说，作者是堕落の天堂。
自由骑士,自由骑士,北京市自由骑士服装有限公司是一家集设计、生产、营销、加工于一体的专业化服装公司。公司始创于2007年，经过6年的厉兵秣马，现已发展成为批发、区域总代、单店加盟为一体的综合性经营模式，形成以北京为中心，辐射全国大部分地区的营销服务网络，公司铸造了一支高效精干的技术管理队伍，建立了全方位的营销服务体系。不仅拥有优良的产品品质，而且拥有先进的技术设备与科学的管理体系。公司秉承“以服务为根本，质量与价格求生存”的服务理念；“当季时装，物超所值”的经营宗旨；“诚信第一，服务第一，品质第一，价格第一！”的原则。以优质的产品，一流的服务，热忱欢迎各界朋友前来合作，共创辉煌！
腓特烈,腓特烈二世,腓特烈二世（德语：FriedrichII；1712年1月24日—1786年8月17日），又译弗里德里希二世，后世尊称其为腓特烈大帝（FredericktheGreat）、是普鲁士王国国王（1740年5月31日—1786年8月17日在位），欧洲历史上著名军事家、政治家，还是一名作家、作曲家。腓特烈二世生于普鲁士首都柏林，少年时擅长乐器，1740年即位。曾两次发动西里西亚战争。1756年发动对法兰西王国、俄罗斯帝国和奥地利公国等国的七年战争。1772年同俄罗斯帝国、奥地利大公国乘波兰内政危机第一次瓜分波兰领土，获得西普鲁士的领土。1785年组建由15个德意志联邦国组成的诸侯联盟。1786年在波茨坦去世。腓特烈二世是欧洲“开明专制”的代表人物，在政治、经济、哲学、法律、甚至音乐诸多方面都颇有建树，为启蒙运动一大重要人物。在其铁腕统治下，普鲁士的国力迅速上升，在很短时间内便跃居欧洲列强之列。 腓特烈二世是欧洲历史上最伟大的名将之一。
卡斯曼,卡斯曼,卡斯曼腕表品牌的目标消费群体主要定位于年轻群体和时尚人士，针对这类群体忙碌的工作，学习和快节奏的生活这一特点，以及这类人群对时尚、年轻、自由、休闲的工作和生活态度的追求。为引起消费者的共鸣，卡斯曼以希望人们把握住宝贵的时间以及珍惜每一分每一秒的生活态度，而打造出时尚、休闲、经典的腕表形象，对品牌文化进行了一个全新的诠释。卡斯曼品牌加大研发力度，打造成独树一帜的品牌风格，将文化融入产品之中，提高产品品位。卡斯曼所有零配件均由为世界各大品牌厂商常年服务的专业生产商提供，优质的高科技制作材料统一配以精准、长效的国外进口机芯，辅以香港制作团队的精彩设计，成就了卡斯曼卓尔不群的品牌风格及超高的性价比。
MI,熔融指数,熔融指数是一种表示塑胶材料加工时的流动性的数值。它是美国量测标准协会(ASTM)根据美国杜邦公司惯用的鉴定塑料特性的方法制定而成，其测试方法是先让塑料粒在一定时间（10分钟）内、一定温度及压力（各种材料标准不同）下，融化成塑料流体，然后通过一直径为2.095mm圆管所流出的克（g）数。其值越大，表示该塑胶材料的加工流动性越佳，反之则越差。
汤姆森,约瑟夫·约翰·汤姆逊,约瑟夫·约翰·汤姆逊（Thomson，JosephJohn；1856年—1940年），英国物理学家，电子的发现者。约瑟夫·约翰·汤姆逊是第三任卡文迪许实验室主任，以其对电子和同位素的实验著称。一幅他正在研究阴极射线管的肖像挂在实验室的麦克斯韦讲演厅里。
THOMAS&FRIENDS,托马斯和朋友,《托马斯&朋友》的版权拥有者，HIT娱乐有限公司亚洲区总经理弗兰克·福雷介绍说，托马斯最早出现在由英国牧师瑞福·奥德瑞在1945年创作的《铁路系列》故事中，这个拟人化的蓝色蒸汽小火车和他一群个性迥异的火车朋友们居住在一个名叫“多多”的岛上，一同冒险，一同成长。
艾力斯特,艾力斯特,
品立,品立,品立PINLI——“每一件品立，都有一处独特设计”，品立的每一件产品，都是一位独立设计师用心凝聚的结晶，设计师表达自己内心的态度，用独特的设计，去诠释穿着品立的态度，去诠释与众不同。
左凯,左凯,
远山,远山,《远山》是由孙诚执导的影片，李玉峰、李歌、岳红等参加演出。
Aplus,APlus,
FOSS,FOSS,“FOSS产业”是有新意的，严格讲来，它不完全等同于“开源产业”。FOSS把现代软件业带入一个全新阶段。
Canada Goose,加拿大黑雁,加拿大黑雁（学名：Brantacanadensis）共有11个亚种，为鸭科黑雁属的鸟类。中等体型，为典型的冷水性海洋鸟，耐严寒，喜栖于海湾、海港及河口等地。飞行时有时呈斜线飞行，有时呈“V”字形，很不规则。主要以青草或水生植物的嫩芽、叶、茎等为食，也吃根和植物种子，冬季有时还吃麦苗等农作物的幼苗。迁徙时常集成大群，白天飞翔，傍晚降落到湖泊等水域休息和觅食，常常发出高叫声，极为嘈杂。分布于北美洲。加拿大黑雁指名亚种（Brantacanadensiscanadensis）是加拿大国鸟。
枫叶,枫叶,枫叶是枫树的叶子，一般为掌状五裂型，长约13厘米，宽度略大于常人手掌，3片最大的裂片具少数突出的齿，基部为心形，叶面粗糙，上面为中绿至暗绿色，下面叶脉上有毛，秋季变为黄色至橙色或红色。但少量地区为深、暗绿色。枫叶（Maple，Leaf)花语：自制能力喜欢此花的你有自己的一套生活原则，积极进取，不断向前迈进。在感情上，你显得比较退缩，对初恋仍念念不忘，对爱情产生惶恐，其实只要你懂得从失败的经验中提升自己，找到真爱又何难。花箴言：该温柔时温柔，该发威时就要发威。
MEJEY,MEJEY,MEJEY 由张家港市享美优橡塑制品有限公司于2017年10月14日在中国商标网注册的商标；商品服务:游戏器具、玩具、棋、体育活动用球、锻炼身体器械、射箭用器具、体育活动器械、塑胶跑道、护肘（体育用品）、钓鱼用具。
中逵,中逵,中逵（zhōngkuí），是中国汉语词语，指道路交错之处；九通路口，亦指大路，还有中途的意思。
吉尔达,吉尔达,温州吉尔达鞋业有限公司系中国皮革工业协会的重点骨干企业，1991年成立。现有员工2500多人，标准厂房52000平方米，日产高档男女皮鞋20000多双。连续五届获得“中国真皮鞋王”，98年率先在行内获质量管理体系认证。自2001年起连获“国家免检产品”资格，2005年被国家商务部列为重点培育和发展的“中国出口名牌”被国家质量监督检验检疫总局评定为“中国名牌产品”。吉尔达商标在2002年2月被国家工商行政管理总局认定为“中国驰名商标” 。
务本,务本,务本：致力于根本。劝人务实根本之道，君子专心致力于根本，根本确立了，道义才能产生。孝敬父母、顺从兄长，这是仁道的根本。
吉泰,吉泰,吉泰连锁酒店是一家商务型酒店连锁管理机构，于2005年5月正式进入市场以来，现已成为行业的标杆之一。公司通过“吉泰”品牌经营的方式管理连锁酒店，并为连锁酒店提供销售、管理、培训、技术、宣传等全方位的支持及服务。
ESON,eson,
